time,psibdx,psivdx,lonx,latx,alt,dvbe,thtvdx,VBED1,VBED2,VBED3
105,-179.944,-179.111,-120.503,33.6214,66525.6,1874.92,19.645,-1765.58,-27.3988,-630.332
105.5,-179.949,-179.107,-120.504,33.6135,66839.6,1873.29,19.515,-1765.47,-27.5034,-625.779
106,-179.953,-179.104,-120.504,33.6057,67151.3,1871.68,19.3847,-1765.36,-27.6077,-621.227
106.5,-179.958,-179.101,-120.504,33.5978,67460.8,1870.07,19.2543,-1765.25,-27.7118,-616.675
107,-179.962,-179.097,-120.504,33.5899,67768,1868.47,19.1236,-1765.14,-27.8156,-612.124
107.5,-179.967,-179.094,-120.504,33.582,68072.9,1866.88,18.9927,-1765.03,-27.9192,-607.572
108,-179.971,-179.09,-120.504,33.5742,68375.5,1865.31,18.8615,-1764.92,-28.0225,-603.022
108.5,-179.976,-179.087,-120.505,33.5663,68675.9,1863.74,18.7302,-1764.82,-28.1255,-598.471
109,-179.98,-179.084,-120.505,33.5584,68974,1862.19,18.5986,-1764.71,-28.2282,-593.921
109.5,-179.985,-179.08,-120.505,33.5506,69269.8,1860.65,18.4669,-1764.61,-28.3307,-589.371
110,-179.989,-179.077,-120.505,33.5427,69563.3,1859.12,18.3349,-1764.51,-28.4328,-584.822
110.5,-179.993,-179.073,-120.505,33.5348,69854.6,1857.59,18.2027,-1764.4,-28.5348,-580.273
111,-179.997,-179.07,-120.505,33.527,70143.6,1856.08,18.0702,-1764.3,-28.6364,-575.725
111.5,179.998,-179.067,-120.505,33.5191,70430.3,1854.58,17.9376,-1764.2,-28.7378,-571.176
112,179.994,-179.063,-120.506,33.5112,70714.8,1853.1,17.8047,-1764.1,-28.8389,-566.629
112.5,179.99,-179.06,-120.506,33.5034,70996.9,1851.62,17.6717,-1764.01,-28.9397,-562.081
113,179.986,-179.057,-120.506,33.4955,71276.8,1850.15,17.5384,-1763.91,-29.0402,-557.534
113.5,179.982,-179.053,-120.506,33.4876,71554.5,1848.7,17.4049,-1763.81,-29.1405,-552.987
114,179.978,-179.05,-120.506,33.4798,71829.8,1847.25,17.2712,-1763.72,-29.2404,-548.441
114.5,179.974,-179.047,-120.506,33.4719,72102.9,1845.82,17.1373,-1763.62,-29.3402,-543.894
115,179.97,-179.044,-120.507,33.464,72373.7,1844.39,17.0033,-1763.53,-29.4396,-539.349
115.5,179.966,-179.04,-120.507,33.4562,72642.2,1842.98,16.8689,-1763.43,-29.5387,-534.803
116,179.962,-179.037,-120.507,33.4483,72908.5,1841.58,16.7344,-1763.34,-29.6376,-530.258
116.5,179.958,-179.034,-120.507,33.4405,73172.5,1840.19,16.5997,-1763.25,-29.7362,-525.713
117,179.954,-179.031,-120.507,33.4326,73434.2,1838.81,16.4648,-1763.16,-29.8345,-521.169
117.5,179.95,-179.027,-120.507,33.4248,73693.6,1837.44,16.3297,-1763.07,-29.9326,-516.624
118,179.946,-179.024,-120.507,33.4169,73950.8,1836.09,16.1944,-1762.98,-30.0303,-512.08
118.5,179.942,-179.021,-120.508,33.409,74205.7,1834.74,16.0589,-1762.89,-30.1278,-507.537
119,179.938,-179.018,-120.508,33.4012,74458.3,1833.41,15.9232,-1762.8,-30.225,-502.994
119.5,179.934,-179.015,-120.508,33.3933,74708.7,1832.08,15.7873,-1762.71,-30.3219,-498.451
120,179.931,-179.011,-120.508,33.3855,74956.8,1830.77,15.6512,-1762.63,-30.4186,-493.908
120.5,179.927,-179.008,-120.508,33.3776,75202.6,1829.47,15.515,-1762.54,-30.5149,-489.365
121,179.923,-179.005,-120.508,33.3698,75446.1,1828.18,15.3785,-1762.46,-30.611,-484.823
121.5,179.919,-179.002,-120.509,33.3619,75687.4,1826.9,15.2418,-1762.37,-30.7068,-480.282
122,179.915,-178.999,-120.509,33.3541,75926.4,1825.64,15.105,-1762.29,-30.8023,-475.74
122.5,179.912,-178.996,-120.509,33.3462,76163.1,1824.38,14.968,-1762.21,-30.8976,-471.199
123,179.908,-178.992,-120.509,33.3384,76397.6,1823.13,14.8308,-1762.13,-30.9925,-466.658
123.5,179.904,-178.989,-120.509,33.3305,76629.7,1821.9,14.6934,-1762.04,-31.0872,-462.117
124,179.9,-178.986,-120.509,33.3227,76859.7,1820.68,14.5558,-1761.96,-31.1816,-457.577
124.5,179.897,-178.983,-120.51,33.3148,77087.3,1819.47,14.418,-1761.88,-31.2757,-453.037
125,179.893,-178.98,-120.51,33.307,77312.7,1818.27,14.2801,-1761.8,-31.3695,-448.497
125.5,179.889,-178.977,-120.51,33.2991,77535.8,1817.08,14.1419,-1761.73,-31.463,-443.957
126,179.885,-178.974,-120.51,33.2913,77756.6,1815.9,14.0036,-1761.65,-31.5563,-439.418
126.5,179.882,-178.971,-120.51,33.2834,77975.2,1814.73,13.8652,-1761.57,-31.6492,-434.879
127,179.878,-178.968,-120.51,33.2756,78191.5,1813.58,13.7265,-1761.5,-31.7419,-430.34
