1,input_ballistic.asc,Three-stage,rocket,ascent
0,0,20,,
time,psibdx,thtbdx,phibdx,alppx
phipx,alphax,betax,qqx,lonx
latx,alt,dvbe,dvbi,psivdx
thtvdx,SBII1,SBII2,SBII3,grndtrck
42,180,30.8347,-1.20742e-06,0
180,-0.928907,4.77722e-11,-1.26998,-120.49
34.5348,13273.3,1097,1097,180
31.7613,-2.67431e+06,-4.54189e+06,3.60314e+06,16114
42.5,180,30.3163,-0,0.581706
180,-1.21099,6.65872e-11,-0.81106,-120.49
34.5305,13563.5,1116.03,1116.03,180
31.5249,-2.67457e+06,-4.54233e+06,3.60291e+06,16584
43,180,30.0278,-1.20742e-06,0.672534
180,-1.25632,7.21737e-11,-0.351171,-120.49
34.5262,13856.8,1135.35,1135.35,180
31.2817,-2.67483e+06,-4.54277e+06,3.60268e+06,17063.4
43.5,180,29.9694,-0,0.198137
180,-1.07856,6.46504e-11,0.109528,-120.49
34.5218,14153.1,1154.98,1154.98,180
31.0457,-2.67509e+06,-4.54322e+06,3.60245e+06,17552.3
44,180,30.1417,-0,0
180,-0.687526,4.40779e-11,0.570876,-120.49
34.5173,14452.5,1174.9,1174.9,180
30.8271,-2.67536e+06,-4.54367e+06,3.6022e+06,18050.8
44.5,180,30.5448,-0,0
180,-0.0785479,8.96566e-12,1.03271,-120.49
34.5127,14755.2,1195.14,1195.14,180
30.6214,-2.67563e+06,-4.54414e+06,3.60196e+06,18559
45,-180,30.9981,0,0
-3.60013e-09,0.564705,-3.54882e-11,0.667588,-120.49
34.5081,15061.3,1215.7,1215.7,180
30.4316,-2.67591e+06,-4.54461e+06,3.6017e+06,19076.9
45.5,-180,31.2234,0,0
-3.9062e-09,0.966873,-6.59257e-11,0.205301,-120.49
34.5033,15371,1236.59,1236.59,180
30.2548,-2.67619e+06,-4.54509e+06,3.60144e+06,19604.8
46,-180,31.2176,8.53774e-07,0.392286
-4.07009e-09,1.12689,-8.00588e-11,-0.256938,-120.49
34.4984,15684.4,1257.8,1257.8,180
30.0891,-2.67648e+06,-4.54557e+06,3.60117e+06,20142.6
46.5,-180,30.9809,8.53774e-07,0
-4.22816e-09,1.05002,-7.74951e-11,-0.71894,-120.49
34.4935,16001.6,1279.35,1279.35,180
29.9292,-2.67677e+06,-4.54607e+06,3.6009e+06,20690.5
47,-180,30.5133,1.47878e-06,0
-4.47695e-09,0.747715,-5.84328e-11,-1.18052,-120.49
34.4885,16322.6,1301.25,1301.25,180
29.764,-2.67706e+06,-4.54657e+06,3.60062e+06,21248.7
47.5,-180,29.8152,2.41484e-06,0
-5.65509e-09,0.219729,-2.16908e-11,-1.64149,-120.49
34.4834,16647.5,1323.5,1323.5,180
29.5938,-2.67736e+06,-4.54708e+06,3.60034e+06,21817.3
48,180,28.9887,-1.9091e-06,0
180,-0.428047,3.67148e-11,-1.48061,-120.49
34.4781,16976.2,1346.12,1346.12,180
29.4149,-2.67767e+06,-4.54759e+06,3.60004e+06,22396.6
48.5,180,28.3663,-8.53774e-07,0
180,-0.864193,8.21059e-11,-1.02136,-120.49
34.4728,17308.6,1369.1,1369.1,180
29.2286,-2.67798e+06,-4.54812e+06,3.59974e+06,22986.9
49,180,27.9733,-0,0.172444
180,-1.06753,1.05137e-10,-0.563224,-120.49
34.4674,17644.7,1392.45,1392.45,180
29.0389,-2.67829e+06,-4.54865e+06,3.59944e+06,23588.3
49.5,180,27.8092,-0,0
180,-1.04082,1.05243e-10,-0.106339,-120.49
34.4619,17984.5,1416.18,1416.18,180
28.8482,-2.67861e+06,-4.54919e+06,3.59912e+06,24201
50,180,27.8733,-0,0
